Year,Movie,Song,GEM!,Singer(s),Music Director(s),Lyrics
1978,Trishul,O kabhi kasme na tode,,"Kishore, Lata",Khayyam,Sahir Ludhianvi
1979,Baton Baton Mein,Suniye kahiye kahiye suniye,,"Kishore, Asha",Rajesh Roshan,Amit Khanna
1979,Dhongee,Haaye re haaye tera ghunghta,,"Kishore, Asha",R D Burman,Anand Bakshi
1979,Gautam Govinda,Ek ritu aaye ek ritu jaaye,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1979,Gol Maal,Aane waala pal jaane waala hai,,Kishore,R D Burman,Gulzar
1979,Gol Maal,Ik din sapne mein dekha sapna,,"Kishore, Amit Kumar",R D Burman,Gulzar
1979,Jaani Dushman,O meri jaan bol meri jaan,,"Kishore, Anuradha Paudwal",Laxmikant Pyarelal,Verma Malik
1979,Jhoota Kahin Ka,Jeevan ke har mod pe,,"Kishore, Asha",R D Burman,Gulshan Bawra
1979,Kaala Patthar,Ek raasta hai zindagi,,Kishore,Rajesh Roshan,Sahir Ludhianvi
1979,Lahu Ke Do Rang,Muskuraata hua gul khilaata hua,,Kishore,Bappi Lahiri,Farooq Kaiser
1979,Manzil,Rimjhim gire saawan (M),,Kishore,R D Burman,Yogesh
1979,Mr. Natwarlal,Pardesia pardesiya,,"Kishore, Lata",Rajesh Roshan,Anand Bakshi
1979,Nauker,Pallo latke,,"Kishore, Asha",R D Burman,Majrooh Sultanpuri
1979,Prem Bandhan,Main tere pyaar mein paagal,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1979,The Great Gambler,Pehle pehle pyaar ki mulaaqaaten,,"Kishore, Asha",R D Burman,Anand Bakshi
1980,Abdullah,Ae khuda har faisla tera,,Kishore,R D Burman,Anand Bakshi
1980,Dhan Daulat,Ho jaaye phir us din ka jo,,"Kishore, Asha",R D Burman,Majrooh Sultanpuri
1980,Dhan Daulat,Jeena kya aji pyaar bina,,"Kishore, Asha",R D Burman,Majrooh Sultanpuri
1980,Dhan Daulat,Woh jinki nayi hai duniya,,"Kishore, Asha",R D Burman,Majrooh Sultanpuri
1980,Dostana,Bane chaahe dushman zamaana,,"Rafi, Kishore",Laxmikant Pyarelal,Anand Bakshi
1980,Judaai,Maar gayi mujhe teri judaai,,"Kishore, Asha",Laxmikant Pyarelal,Anand Bakshi
1980,Karz,Main solah baras ki,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1980,Karz,Om shaanti om,Picture,Kishore,Laxmikant Pyarelal,Anand Bakshi
1980,Man Pasand,Main akela apni dhun mein magan,,Kishore,Rajesh Roshan,Amit Khanna
1980,Man Pasand,Man maani se hargiz na daro,,Kishore,Rajesh Roshan,Amit Khanna
1980,Man Pasand,Sa re ga ma pa,,"Kishore, Lata",Rajesh Roshan,Amit Khanna
1980,Patita,Dil dhak dhak karne laga,,Kishore,Bappi Lahiri,Anand Bakshi
1980,Phir Wahi Raat,Sang mere nikle the saajan,,"Kishore, Lata",R D Burman,Majrooh Sultanpuri
1980,Qurbani,Tujhpe qurbaan meri jaan,,"Kishore, Anwar",Kalyanji Anandji,Indeevar
1980,Red Rose,Kiski sadaayen mujhko bulaayen,,"Kishore, Asha",R D Burman,Nida Fazli
1980,Red Rose,Tere bin jeena kya tere bin marna kya,,"Kishore, Asha",R D Burman,Vithalbhai Patel
1980,Thodisi Bewafai,Aankhon mein hamne aap ke,,"Kishore, Lata",Khayyam,Gulzar
1980,Thodisi Bewafai,Hazaar raahen mudke dekheen,,"Kishore, Lata",Khayyam,Gulzar
1981,Aas Paas,Tum jo chale gaye to,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1981,Barsaat Ki Ek Raat,Apne pyaar ke sapne,,"Kishore, Lata",R D Burman,Anand Bakshi
